===== SNAPSHOT 2026-08-16T12:35:09.049903588Z =====
===== SNAPSHOT 2026-08-16T12:35:12.250345285Z =====
2026-08-16T12:35:12.631792578Z 2026-08-16T12:35:12.629497574Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018002/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.015997407Z 2026-08-16T12:35:13.015147153Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018006/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.186359607Z 2026-08-16T12:35:13.185610383Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018012/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.186390986Z 2026-08-16T12:35:13.185855412Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018007/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.187877934Z 2026-08-16T12:35:13.187434172Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018011/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.188824519Z 2026-08-16T12:35:13.188595008Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018009/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.189462525Z 2026-08-16T12:35:13.189124121Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018008/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.204760932Z 2026-08-16T12:35:13.204492879Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018007/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.205617668Z 2026-08-16T12:35:13.205456506Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018010/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.208218394Z 2026-08-16T12:35:13.207893194Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018012/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.209390362Z 2026-08-16T12:35:13.209080701Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018008/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.210323481Z 2026-08-16T12:35:13.209664606Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018011/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.214242470Z 2026-08-16T12:35:13.212554704Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018009/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.224681534Z 2026-08-16T12:35:13.224150788Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018010/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.286069028Z 2026-08-16T12:35:13.285350741Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PUT     | /nudr-dr/v2/subscription-data/imsi-208930000018003/authentication-data/authentication-status |  |
2026-08-16T12:35:13.286448189Z 2026-08-16T12:35:13.286172673Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PUT     | /nudr-dr/v2/subscription-data/imsi-208930000018005/authentication-data/authentication-status |  |
===== SNAPSHOT 2026-08-16T12:35:15.514902059Z =====
2026-08-16T12:35:12.631792578Z 2026-08-16T12:35:12.629497574Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018002/authentication-data/authentication-subscription |  |
2026-08-16T12:35:12.721464259Z 2026-08-16T12:35:12.629515098Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018001/authentication-data/authentication-subscription |  |
2026-08-16T12:35:12.721488013Z 2026-08-16T12:35:12.631083238Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018004/authentication-data/authentication-subscription |  |
2026-08-16T12:35:12.721493854Z 2026-08-16T12:35:12.649802779Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018003/authentication-data/authentication-subscription |  |
2026-08-16T12:35:12.929460545Z 2026-08-16T12:35:12.929089850Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018001/authentication-data/authentication-subscription |  |
2026-08-16T12:35:12.934450462Z 2026-08-16T12:35:12.934215602Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018004/authentication-data/authentication-subscription |  |
2026-08-16T12:35:12.936256858Z 2026-08-16T12:35:12.936025956Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018002/authentication-data/authentication-subscription |  |
2026-08-16T12:35:12.937811915Z 2026-08-16T12:35:12.936889886Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018005/authentication-data/authentication-subscription |  |
2026-08-16T12:35:12.948266388Z 2026-08-16T12:35:12.947362032Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018003/authentication-data/authentication-subscription |  |
2026-08-16T12:35:12.961793793Z 2026-08-16T12:35:12.960648966Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018005/authentication-data/authentication-subscription |  |
2026-08-16T12:35:12.967529738Z 2026-08-16T12:35:12.967111223Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018006/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.015997407Z 2026-08-16T12:35:13.015147153Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018006/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.186359607Z 2026-08-16T12:35:13.185610383Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018012/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.186390986Z 2026-08-16T12:35:13.185855412Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018007/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.187877934Z 2026-08-16T12:35:13.187434172Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018011/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.188824519Z 2026-08-16T12:35:13.188595008Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018009/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.189462525Z 2026-08-16T12:35:13.189124121Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018008/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.204760932Z 2026-08-16T12:35:13.204492879Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018007/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.205617668Z 2026-08-16T12:35:13.205456506Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018010/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.208218394Z 2026-08-16T12:35:13.207893194Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018012/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.209390362Z 2026-08-16T12:35:13.209080701Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018008/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.210323481Z 2026-08-16T12:35:13.209664606Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018011/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.214242470Z 2026-08-16T12:35:13.212554704Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018009/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.224681534Z 2026-08-16T12:35:13.224150788Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018010/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.286069028Z 2026-08-16T12:35:13.285350741Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PUT     | /nudr-dr/v2/subscription-data/imsi-208930000018003/authentication-data/authentication-status |  |
2026-08-16T12:35:13.286448189Z 2026-08-16T12:35:13.286172673Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PUT     | /nudr-dr/v2/subscription-data/imsi-208930000018005/authentication-data/authentication-status |  |
2026-08-16T12:35:13.383479038Z 2026-08-16T12:35:13.382453535Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018015/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.384285580Z 2026-08-16T12:35:13.383895359Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018014/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.389555091Z 2026-08-16T12:35:13.389282420Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018016/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.390541010Z 2026-08-16T12:35:13.390399354Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018013/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.396742918Z 2026-08-16T12:35:13.396142313Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018015/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.399509716Z 2026-08-16T12:35:13.398880076Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018017/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.412831276Z 2026-08-16T12:35:13.410922707Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018013/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.423706156Z 2026-08-16T12:35:13.421830900Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018016/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.424988721Z 2026-08-16T12:35:13.422878374Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018014/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.467441723Z 2026-08-16T12:35:13.464977091Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018018/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.479182276Z 2026-08-16T12:35:13.478126106Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018017/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.479198527Z 2026-08-16T12:35:13.478303058Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PUT     | /nudr-dr/v2/subscription-data/imsi-208930000018002/authentication-data/authentication-status |  |
2026-08-16T12:35:13.551326651Z 2026-08-16T12:35:13.551065491Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PUT     | /nudr-dr/v2/subscription-data/imsi-208930000018004/authentication-data/authentication-status |  |
2026-08-16T12:35:13.564671583Z 2026-08-16T12:35:13.562179921Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PUT     | /nudr-dr/v2/subscription-data/imsi-208930000018006/authentication-data/authentication-status |  |
2026-08-16T12:35:13.572884603Z 2026-08-16T12:35:13.572487760Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PUT     | /nudr-dr/v2/subscription-data/imsi-208930000018001/authentication-data/authentication-status |  |
2026-08-16T12:35:13.577954791Z 2026-08-16T12:35:13.574169242Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PUT     | /nudr-dr/v2/subscription-data/imsi-208930000018011/authentication-data/authentication-status |  |
2026-08-16T12:35:13.600794977Z 2026-08-16T12:35:13.599586681Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018021/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.628742900Z 2026-08-16T12:35:13.627325763Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PUT     | /nudr-dr/v2/subscription-data/imsi-208930000018009/authentication-data/authentication-status |  |
2026-08-16T12:35:13.641498819Z 2026-08-16T12:35:13.640914554Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018018/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.825508468Z 2026-08-16T12:35:13.818551153Z[36m [INFO][UDR][DataRepo] [0mQueryAmDataProcedure: ueId: imsi-208930000018003, servingPlmnId: 20893
2026-08-16T12:35:13.825539446Z 2026-08-16T12:35:13.822305643Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018020/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.829212874Z 2026-08-16T12:35:13.823447925Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018022/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.829238151Z 2026-08-16T12:35:13.823520320Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PUT     | /nudr-dr/v2/subscription-data/imsi-208930000018010/authentication-data/authentication-status |  |
2026-08-16T12:35:13.829245916Z 2026-08-16T12:35:13.824715682Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018019/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.838317806Z 2026-08-16T12:35:13.837944947Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018021/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.911004207Z 2026-08-16T12:35:13.910484743Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018003/20893/provisioned-data/am-data?supported-features= |  |
2026-08-16T12:35:13.911030447Z 2026-08-16T12:35:13.910859666Z[36m [INFO][UDR][DataRepo] [0mQueryAmDataProcedure: ueId: imsi-208930000018005, servingPlmnId: 20893
2026-08-16T12:35:13.916703173Z 2026-08-16T12:35:13.916265973Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018005/20893/provisioned-data/am-data?supported-features= |  |
2026-08-16T12:35:13.926465037Z 2026-08-16T12:35:13.926292975Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018020/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.926776401Z 2026-08-16T12:35:13.926495765Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PUT     | /nudr-dr/v2/subscription-data/imsi-208930000018008/authentication-data/authentication-status |  |
2026-08-16T12:35:13.929902763Z 2026-08-16T12:35:13.929481133Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018022/authentication-data/authentication-subscription |  |
2026-08-16T12:35:13.933046107Z 2026-08-16T12:35:13.932703865Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018019/authentication-data/authentication-subscription |  |
2026-08-16T12:35:14.049901018Z 2026-08-16T12:35:14.048464525Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PUT     | /nudr-dr/v2/subscription-data/imsi-208930000018015/authentication-data/authentication-status |  |
2026-08-16T12:35:14.049917219Z 2026-08-16T12:35:14.048634854Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PUT     | /nudr-dr/v2/subscription-data/imsi-208930000018014/authentication-data/authentication-status |  |
2026-08-16T12:35:14.051045504Z 2026-08-16T12:35:14.050744129Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PUT     | /nudr-dr/v2/subscription-data/imsi-208930000018012/authentication-data/authentication-status |  |
2026-08-16T12:35:14.053386805Z 2026-08-16T12:35:14.051996066Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PUT     | /nudr-dr/v2/subscription-data/imsi-208930000018007/authentication-data/authentication-status |  |
2026-08-16T12:35:14.056629434Z 2026-08-16T12:35:14.056379245Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PUT     | /nudr-dr/v2/subscription-data/imsi-208930000018003/context-data/amf-3gpp-access |  |
2026-08-16T12:35:14.058917725Z 2026-08-16T12:35:14.058511434Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PUT     | /nudr-dr/v2/subscription-data/imsi-208930000018005/context-data/amf-3gpp-access |  |
2026-08-16T12:35:14.068698164Z 2026-08-16T12:35:14.068562400Z[36m [INFO][UDR][DataRepo] [0mQueryAmDataProcedure: ueId: imsi-208930000018005, servingPlmnId: 20893
2026-08-16T12:35:14.070051952Z 2026-08-16T12:35:14.069637345Z[36m [INFO][UDR][DataRepo] [0mQueryAmDataProcedure: ueId: imsi-208930000018003, servingPlmnId: 20893
2026-08-16T12:35:14.071719629Z 2026-08-16T12:35:14.071394099Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018005/20893/provisioned-data/am-data?supported-features= |  |
2026-08-16T12:35:14.072205059Z 2026-08-16T12:35:14.072143033Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018003/20893/provisioned-data/am-data?supported-features= |  |
2026-08-16T12:35:14.072904070Z 2026-08-16T12:35:14.072527594Z[36m [INFO][UDR][DataRepo] [0mQueryAmDataProcedure: ueId: imsi-208930000018002, servingPlmnId: 20893
2026-08-16T12:35:14.075503575Z 2026-08-16T12:35:14.075365836Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018002/20893/provisioned-data/am-data?supported-features= |  |
2026-08-16T12:35:14.091267333Z 2026-08-16T12:35:14.088792092Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PUT     | /nudr-dr/v2/subscription-data/imsi-208930000018013/authentication-data/authentication-status |  |
2026-08-16T12:35:14.110076030Z 2026-08-16T12:35:14.109537300Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018005/20893/provisioned-data/smf-selection-subscription-data?supported-features= |  |
2026-08-16T12:35:14.111621589Z 2026-08-16T12:35:14.111313711Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018003/20893/provisioned-data/smf-selection-subscription-data?supported-features= |  |
2026-08-16T12:35:14.161139769Z 2026-08-16T12:35:14.160463711Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PUT     | /nudr-dr/v2/subscription-data/imsi-208930000018002/context-data/amf-3gpp-access |  |
2026-08-16T12:35:14.166662374Z 2026-08-16T12:35:14.166309553Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018025/authentication-data/authentication-subscription |  |
2026-08-16T12:35:14.167700190Z 2026-08-16T12:35:14.167402542Z[36m [INFO][UDR][DataRepo] [0mQueryAmDataProcedure: ueId: imsi-208930000018002, servingPlmnId: 20893
2026-08-16T12:35:14.168048353Z 2026-08-16T12:35:14.167787734Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018003/context-data/smf-registrations?supported-features= |  |
2026-08-16T12:35:14.168870665Z 2026-08-16T12:35:14.168470304Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018005/context-data/smf-registrations?supported-features= |  |
2026-08-16T12:35:14.172165543Z 2026-08-16T12:35:14.171024123Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018002/20893/provisioned-data/am-data?supported-features= |  |
2026-08-16T12:35:14.172190169Z 2026-08-16T12:35:14.171081410Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018028/authentication-data/authentication-subscription |  |
2026-08-16T12:35:14.187368869Z 2026-08-16T12:35:14.187043349Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018025/authentication-data/authentication-subscription |  |
2026-08-16T12:35:14.193015316Z 2026-08-16T12:35:14.192694776Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018002/20893/provisioned-data/smf-selection-subscription-data?supported-features= |  |
2026-08-16T12:35:14.212521743Z 2026-08-16T12:35:14.212140888Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018028/authentication-data/authentication-subscription |  |
2026-08-16T12:35:14.212833567Z 2026-08-16T12:35:14.212522614Z[36m [INFO][UDR][GIN] [0m| 201 |    10.244.0.141 | POST    | /nudr-dr/v2/subscription-data/imsi-208930000018005/context-data/sdm-subscriptions |  |
2026-08-16T12:35:14.246169464Z 2026-08-16T12:35:14.245849154Z[36m [INFO][UDR][GIN] [0m| 201 |    10.244.0.141 | POST    | /nudr-dr/v2/subscription-data/imsi-208930000018003/context-data/sdm-subscriptions |  |
2026-08-16T12:35:14.247616477Z 2026-08-16T12:35:14.247056107Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018002/context-data/smf-registrations?supported-features= |  |
2026-08-16T12:35:14.255359887Z 2026-08-16T12:35:14.254912548Z[36m [INFO][UDR][GIN] [0m| 200 |    10.244.0.141 | GET     | /nudr-dr/v2/subscription-data/imsi-208930000018026/authentication-data/authentication-subscription |  |
2026-08-16T12:35:14.261006263Z 2026-08-16T12:35:14.260662619Z[36m [INFO][UDR][GIN] [0m| 201 |    10.244.0.141 | POST    | /nudr-dr/v2/subscription-data/imsi-208930000018002/context-data/sdm-subscriptions |  |
2026-08-16T12:35:14.267083639Z 2026-08-16T12:35:14.266603359Z[36m [INFO][UDR][GIN] [0m| 204 |    10.244.0.141 | PATCH   | /nudr-dr/v2/subscription-data/imsi-208930000018026/authentication-data/authentication-subscription |  |
